invoice_number,vendor_name,gst_number,invoice_category,payment_method,invoice_amount,tax_amount,payment_terms,invoice_date,due_date,vendor_frequency,duplicate_invoice,gst_valid,tax_mismatch,date_anomaly,amount_deviation,fraud
INV-101103,Bluechip Enterprises,16MYECH3000JIZZ,Electronics,Cheque,53882.37,9698.83,45,2025-10-31 12:15:35.180134,2025-12-15 12:15:35.180134,88,0,1,0,0,0.56,0
INV-101104,Prime Electronics,34PHJNQ2650TSZ5,Consulting,Bank Transfer,41042.19,7387.59,15,2026-03-20 12:15:35.180144,2026-04-04 12:15:35.180144,89,0,1,0,0,0.64,0
INV-101105,Prime Electronics,24NOAQU6371VJZ9,Hardware,Cheque,10349.14,1862.85,45,2026-02-15 12:15:35.180155,2026-04-01 12:15:35.180155,62,0,1,0,0,0.69,0
INV-101106,Skyline Pvt Ltd,21BEGGJ0686N9ZS,Software,Credit Card,69244.66,12464.04,30,2026-02-06 12:15:35.180166,2026-03-08 12:15:35.180166,72,0,1,0,0,0.61,0
INV-101107,Prime Electronics,27AXARS5703C6Z5,Consulting,UPI,89862.49,16175.25,15,2025-08-23 12:15:35.180177,2025-08-17 12:15:35.180177,48,0,1,0,1,0.88,1
INV-101108,Global Traders,15DLSLM2403XMZA,Consulting,Cheque,60166.14,10829.91,60,2025-07-25 12:15:35.180189,2025-09-23 12:15:35.180189,33,0,1,0,0,4.62,1
INV-101109,Future Innovations,20VNKTI2603MNZV,Software,Credit Card,29521.63,5313.89,15,2025-07-19 12:15:35.180201,2025-08-03 12:15:35.180201,8,1,1,0,0,1.45,1
INV-101110,XYZ Solutions,13XQQLC5479VPZJ,Maintenance,Credit Card,24834.88,4470.28,45,2026-06-05 12:15:35.180212,2026-07-20 12:15:35.180212,29,0,1,0,0,0.53,0
INV-101111,Global Traders,GST-ERROR,Hardware,UPI,52488.04,9447.85,15,2026-06-03 12:15:35.180222,2026-06-18 12:15:35.180222,64,0,0,0,0,1.21,1
INV-101112,Bluechip Enterprises,31RGKMO3699K7ZF,Software,Bank Transfer,79847.1,14372.48,60,2025-12-12 12:15:35.180233,2026-02-10 12:15:35.180233,42,0,1,0,0,0.66,0
INV-101113,Skyline Pvt Ltd,17QKGHW6662W0Z8,Software,UPI,77728.21,32932.12,60,2026-01-25 12:15:35.180243,2026-03-26 12:15:35.180243,55,0,1,1,0,1.37,1
INV-101114,TechNova,22BIBEJ4683JJZW,Electronics,Credit Card,66736.08,12012.49,60,2025-07-24 12:15:35.180254,2025-09-22 12:15:35.180254,43,1,1,0,0,0.73,1
INV-101115,ABC Technologies,21UMLPC3027P6ZE,Consulting,Cheque,29999.28,5399.87,60,2026-03-26 12:15:35.180265,2026-05-25 12:15:35.180265,11,0,1,0,0,1.31,0
INV-101116,Bluechip Enterprises,37PYJRJ1408UYZZ,Maintenance,Cheque,95690.76,17224.34,45,2026-05-10 12:15:35.180278,2026-06-24 12:15:35.180278,97,0,1,0,0,0.81,0
INV-101117,XYZ Solutions,26MMZIE8904YGZL,Software,Bank Transfer,81470.79,14664.74,30,2025-10-11 12:15:35.180288,2025-10-10 12:15:35.180288,39,0,1,0,1,0.97,1
INV-101118,Bluechip Enterprises,28NYTQX4663ARZR,Electronics,Cheque,87713.62,30003.09,45,2026-05-11 12:15:35.180300,2026-06-25 12:15:35.180300,93,0,1,1,0,0.95,1
INV-101119,ABC Technologies,33EEKFD2007Z9ZK,Hardware,Credit Card,7849.6,1412.93,45,2026-03-12 12:15:35.180313,2026-04-26 12:15:35.180313,27,0,1,0,0,1.15,0
INV-101120,ABC Technologies,30LZTHS8298MRZ4,Electronics,UPI,99657.41,17938.33,45,2026-04-04 12:15:35.180323,2026-05-19 12:15:35.180323,75,0,1,0,0,1.1,0
INV-101121,Prime Electronics,ABCDE,Hardware,UPI,47831.0,8609.58,45,2025-07-17 12:15:35.180340,2025-08-31 12:15:35.180340,76,0,0,0,0,1.32,1
INV-101122,XYZ Solutions,35IENWG3299Q1Z7,Electronics,Cheque,96978.19,17456.07,15,2026-02-21 12:15:35.180352,2026-03-08 12:15:35.180352,65,0,1,0,0,1.25,0
INV-101123,Global Traders,16HVYFW6757Y2Z4,Software,Credit Card,72249.23,13004.86,30,2026-05-05 12:15:35.180363,2026-06-04 12:15:35.180363,20,0,1,0,0,0.67,0
INV-101124,TechNova,24EZRCC1710GBZV,Hardware,Cheque,50798.01,9143.64,45,2026-05-25 12:15:35.180373,2026-07-09 12:15:35.180373,83,0,1,0,0,1.17,0
INV-101125,Global Traders,18TDQPL9961X5ZY,Hardware,UPI,62139.54,11185.12,45,2026-03-17 12:15:35.180383,2026-05-01 12:15:35.180383,26,0,1,0,0,0.78,0
INV-101126,Bluechip Enterprises,27LDHWN2465WGZN,Consulting,Bank Transfer,40701.9,7326.34,15,2025-11-09 12:15:35.180394,2025-11-24 12:15:35.180394,47,0,1,0,0,0.85,0
INV-101127,XYZ Solutions,23WVCMZ7973EZZM,Electronics,Cheque,92131.35,16583.64,15,2026-04-08 12:15:35.180406,2026-04-23 12:15:35.180406,33,0,1,0,0,1.22,0
INV-101128,Apex Supplies,25QCVAL0043GDZ6,Electronics,UPI,7879.9,1418.38,60,2026-02-12 12:15:35.180419,2026-04-13 12:15:35.180419,49,0,1,0,0,1.17,0
INV-101129,Global Traders,31SJISX0681A4ZO,Hardware,Bank Transfer,35076.15,6313.71,15,2025-11-13 12:15:35.180430,2025-10-28 12:15:35.180430,20,0,1,0,1,1.35,1
INV-101130,Prime Electronics,36VYBRG9192ESZZ,Hardware,Cheque,62844.08,11311.93,30,2025-11-06 12:15:35.180442,2025-12-06 12:15:35.180442,90,0,1,0,0,0.54,0
INV-101131,Vertex Systems,28VVTDH8060GDZD,Hardware,Bank Transfer,73474.01,13225.32,15,2025-11-13 12:15:35.180452,2025-10-20 12:15:35.180452,61,0,1,0,1,0.99,1
INV-101132,Prime Electronics,15OJEQR9646ZBZD,Consulting,Cheque,89130.64,16043.52,45,2026-05-15 12:15:35.180465,2026-06-29 12:15:35.180465,15,0,1,0,0,1.26,0
INV-101133,Future Innovations,17DRHWV1074ITZX,Maintenance,Bank Transfer,67283.67,12111.06,60,2026-06-19 12:15:35.180475,2026-08-18 12:15:35.180475,89,0,1,0,0,0.65,0
INV-101134,XYZ Solutions,21SOFCR5036MPZX,Software,Credit Card,26861.84,4835.13,30,2026-05-08 12:15:35.180486,2026-06-07 12:15:35.180486,24,1,1,0,0,0.95,1
INV-101135,Skyline Pvt Ltd,14MNFIK6674PGZP,Software,Bank Transfer,64241.92,11563.55,30,2026-04-30 12:15:35.180497,2026-05-30 12:15:35.180497,31,0,1,0,0,1.4,0
INV-101136,Skyline Pvt Ltd,21IVDQA5525WPZT,Software,Cheque,39505.85,7111.05,30,2025-10-24 12:15:35.180508,2025-11-23 12:15:35.180508,89,0,1,0,0,1.12,0
INV-101137,XYZ Solutions,34DKATE1018XUZJ,Software,Credit Card,65669.1,11820.44,60,2026-03-21 12:15:35.180521,2026-03-14 12:15:35.180521,85,0,1,0,1,1.34,1
INV-101138,Skyline Pvt Ltd,10GTHVR5774P9ZY,Consulting,Bank Transfer,47746.37,8594.35,15,2025-12-04 12:15:35.180534,2025-12-19 12:15:35.180534,65,1,1,0,0,1.12,1
INV-101139,XYZ Solutions,24PGKUH6440Q1ZS,Electronics,Bank Transfer,21474.49,3865.41,60,2025-09-20 12:15:35.180547,2025-11-19 12:15:35.180547,58,0,1,0,0,1.04,0
INV-101140,Apex Supplies,34UJLYY5633KRZ1,Consulting,Bank Transfer,76702.09,13806.38,30,2026-02-27 12:15:35.180558,2026-03-29 12:15:35.180558,22,0,1,0,0,5.34,1
INV-101141,Future Innovations,27IPRYQ0272K2ZV,Consulting,Bank Transfer,74317.14,7232.99,30,2026-05-22 12:15:35.180570,2026-06-21 12:15:35.180570,59,0,1,1,0,0.8,1
INV-101142,Apex Supplies,24QJNLJ1204IZZY,Consulting,Credit Card,37160.7,6688.93,30,2025-09-29 12:15:35.180582,2025-10-29 12:15:35.180582,50,0,1,0,0,0.77,0
INV-101143,Apex Supplies,GST-ERROR,Software,UPI,9541.57,1717.48,60,2025-09-17 12:15:35.180593,2025-11-16 12:15:35.180593,28,0,0,0,0,1.39,1
INV-101144,Global Traders,21BZMLV4699BDZH,Electronics,UPI,30536.26,5496.53,45,2025-11-02 12:15:35.180605,2025-12-17 12:15:35.180605,79,0,1,0,0,1.06,0
INV-101145,TechNova,33AKCIB9276V2ZS,Software,UPI,72290.06,13012.21,60,2025-11-22 12:15:35.180617,2026-01-21 12:15:35.180617,85,0,1,0,0,1.03,0
INV-101146,Bluechip Enterprises,16AAKMH8485TTZS,Electronics,Credit Card,52530.31,13847.14,15,2025-09-22 12:15:35.180628,2025-10-07 12:15:35.180628,64,0,1,1,0,0.68,1
INV-101147,XYZ Solutions,28XIHCX7828O9Z4,Electronics,Bank Transfer,8589.28,1546.07,30,2025-07-18 12:15:35.180640,2025-07-14 12:15:35.180640,57,0,1,0,1,1.19,1
INV-101148,Apex Supplies,20KQRXH6456I8ZZ,Electronics,Credit Card,91480.9,16466.56,45,2025-11-13 12:15:35.180653,2025-12-28 12:15:35.180653,12,0,1,0,0,0.61,0
INV-101149,XYZ Solutions,27VHPJZ9678P2ZH,Software,Cheque,98897.43,17801.54,30,2025-12-06 12:15:35.180664,2026-01-05 12:15:35.180664,93,0,1,0,0,1.41,0
INV-101150,TechNova,16MPCOV3457K4ZY,Consulting,Bank Transfer,40896.17,18603.99,30,2025-10-09 12:15:35.180678,2025-11-08 12:15:35.180678,38,0,1,1,0,0.99,1
INV-101151,Bluechip Enterprises,31XPFRW1058PYZ7,Electronics,UPI,9239.6,1663.13,30,2025-09-21 12:15:35.180690,2025-10-21 12:15:35.180690,83,0,1,0,0,0.69,0
INV-101152,ABC Technologies,20KUNYH4685B1ZE,Electronics,Credit Card,12850.47,2313.08,45,2025-09-09 12:15:35.180701,2025-10-24 12:15:35.180701,57,0,1,0,0,0.84,0
INV-101153,Vertex Systems,31ZSTES5885N5ZY,Hardware,UPI,80539.66,14497.14,60,2026-03-11 12:15:35.180713,2026-05-10 12:15:35.180713,4,0,1,0,0,1.49,0
INV-101154,Prime Electronics,34ARITH4161Z8ZB,Consulting,Bank Transfer,29668.22,5340.28,45,2026-03-06 12:15:35.180724,2026-04-20 12:15:35.180724,74,0,1,0,0,1.42,0
INV-101155,Bluechip Enterprises,14WSUDN1598RTZH,Software,UPI,47448.74,8540.77,60,2026-02-10 12:15:35.180735,2026-04-11 12:15:35.180735,86,0,1,0,0,0.78,0
INV-101156,Global Traders,19JHFRD0147A4Z4,Maintenance,Credit Card,4111.3,740.03,15,2025-12-26 12:15:35.180746,2025-12-25 12:15:35.180746,95,0,1,0,1,1.11,1
INV-101157,Bluechip Enterprises,19ZCPPQ8993YYZX,Electronics,UPI,3113.54,560.44,15,2025-06-30 12:15:35.180759,2025-07-15 12:15:35.180759,23,0,1,0,0,1.21,0
INV-101158,ABC Technologies,31ERBZW4603VPZ1,Consulting,Credit Card,92952.21,16731.4,30,2025-07-12 12:15:35.180770,2025-08-11 12:15:35.180770,63,0,1,0,0,0.87,0
INV-101159,Bluechip Enterprises,30YZYUP3123N5ZV,Maintenance,Credit Card,71970.53,12954.7,15,2025-11-02 12:15:35.180782,2025-11-17 12:15:35.180782,72,0,1,0,0,0.62,0
INV-101160,Global Traders,14BZQLL1762VMZL,Hardware,Bank Transfer,16056.26,2890.13,15,2025-06-21 12:15:35.180792,2025-06-20 12:15:35.180792,26,0,1,0,1,0.83,1
INV-101161,TechNova,31WMJOY5194K7ZR,Consulting,Bank Transfer,99716.06,17948.89,30,2026-05-29 12:15:35.180805,2026-06-28 12:15:35.180805,53,0,1,0,0,0.98,0
INV-101162,Vertex Systems,24KFRNU9754T7ZQ,Consulting,UPI,98774.51,17779.41,30,2026-04-25 12:15:35.180816,2026-05-25 12:15:35.180816,30,0,1,0,0,1.4,0
INV-101163,Skyline Pvt Ltd,36OZPDH2790TLZZ,Electronics,Bank Transfer,12371.06,2226.79,15,2026-06-08 12:15:35.180827,2026-06-23 12:15:35.180827,11,0,1,0,0,0.84,0
INV-101164,Prime Electronics,17PCVGI7205VIZN,Software,Credit Card,4591.33,826.44,30,2025-06-21 12:15:35.180837,2025-07-21 12:15:35.180837,79,0,1,0,0,1.5,0
INV-101165,Global Traders,12CWIIJ3437LFZW,Consulting,UPI,4565.58,2160.67,60,2026-01-22 12:15:35.180849,2026-03-23 12:15:35.180849,76,0,1,1,0,1.09,1
INV-101166,Global Traders,22JCCSE1160KIZY,Hardware,Bank Transfer,68624.91,12352.48,30,2026-02-19 12:15:35.180862,2026-03-21 12:15:35.180862,100,0,1,0,0,0.68,0
INV-101167,TechNova,34UJVWP4504UHZN,Software,Bank Transfer,65081.03,11714.59,60,2025-11-12 12:15:35.180872,2026-01-11 12:15:35.180872,31,0,1,0,0,0.93,0
INV-101168,Skyline Pvt Ltd,GST-ERROR,Software,Bank Transfer,53915.24,9704.74,15,2025-11-04 12:15:35.180884,2025-11-19 12:15:35.180884,65,0,0,0,0,1.19,1
INV-101169,Future Innovations,15FHEPP1871WRZA,Electronics,Bank Transfer,96562.69,17381.28,45,2025-11-02 12:15:35.180896,2025-10-17 12:15:35.180896,45,0,1,0,1,0.83,1
INV-101170,Future Innovations,26EFANY2364ISZ1,Software,UPI,4316.78,777.02,15,2026-03-30 12:15:35.180909,2026-04-14 12:15:35.180909,22,0,1,0,0,1.43,0
INV-101171,TechNova,29ZPPJW8343R5ZT,Maintenance,UPI,62161.6,11189.09,45,2025-10-14 12:15:35.180922,2025-11-28 12:15:35.180922,25,0,1,0,0,6.95,1
INV-101172,Prime Electronics,11IPBFD6269LBZM,Consulting,UPI,57937.52,10428.75,15,2025-10-29 12:15:35.180934,2025-11-13 12:15:35.180934,47,0,1,0,0,1.07,0
INV-101173,Bluechip Enterprises,11MQHOH4564GIZU,Maintenance,Credit Card,44321.19,7977.81,45,2025-10-04 12:15:35.180947,2025-11-18 12:15:35.180947,59,0,1,0,0,0.51,0
INV-101174,Skyline Pvt Ltd,16DVPZJ5643DUZH,Electronics,UPI,4218.14,759.27,60,2026-05-20 12:15:35.180958,2026-07-19 12:15:35.180958,3,0,1,0,0,0.86,0
INV-101175,XYZ Solutions,11KBFEV9213O2ZM,Software,Bank Transfer,27844.02,5011.92,15,2026-02-02 12:15:35.180969,2026-02-17 12:15:35.180969,80,0,1,0,0,1.42,0
INV-101176,Global Traders,GST123,Electronics,UPI,59471.3,10704.83,60,2025-12-03 12:15:35.180980,2026-02-01 12:15:35.180980,84,0,0,0,0,0.71,1
INV-101177,ABC Technologies,29KOYYI7917VAZ1,Electronics,Bank Transfer,31507.5,5671.35,15,2025-12-17 12:15:35.180992,2025-11-30 12:15:35.180992,66,0,1,0,1,1.37,1
INV-101178,ABC Technologies,14MVKLK3648KIZC,Software,Cheque,35630.33,6413.46,45,2026-06-21 12:15:35.181006,2026-08-05 12:15:35.181006,14,0,1,0,0,0.68,0
INV-101179,Skyline Pvt Ltd,16XXGYW7459VVZ4,Electronics,Credit Card,94522.96,17014.13,60,2026-05-29 12:15:35.181019,2026-07-28 12:15:35.181019,38,0,1,0,0,0.96,0
INV-101180,Skyline Pvt Ltd,24YXNWR9646K3ZU,Maintenance,Credit Card,9001.09,1620.2,15,2025-07-14 12:15:35.181034,2025-07-29 12:15:35.181034,57,0,1,0,0,1.02,0
INV-101181,ABC Technologies,GST-ERROR,Consulting,Cheque,23766.63,4277.99,60,2025-07-15 12:15:35.181045,2025-09-13 12:15:35.181045,13,0,0,0,0,1.36,1
INV-101182,Future Innovations,16TGXOC9253Y8Z6,Hardware,Credit Card,60842.38,10951.63,45,2026-03-10 12:15:35.181057,2026-04-24 12:15:35.181057,89,1,1,0,0,0.84,1
INV-101183,Future Innovations,24ZXRBA5303WWZS,Electronics,Cheque,91584.51,16485.21,30,2025-07-07 12:15:35.181070,2025-06-08 12:15:35.181070,66,0,1,0,1,1.02,1
INV-101184,Prime Electronics,17ECLRX6315GNZ8,Electronics,Credit Card,57592.35,10366.62,45,2025-08-11 12:15:35.181083,2025-09-25 12:15:35.181083,81,0,1,0,0,1.29,0
INV-101185,Future Innovations,20KOVZA5252X3ZM,Maintenance,UPI,43414.95,7814.69,30,2026-03-18 12:15:35.181095,2026-04-17 12:15:35.181095,95,0,1,0,0,1.22,0
INV-101186,Prime Electronics,20RGBDL4068B0ZY,Hardware,Credit Card,69217.13,12459.08,30,2025-11-25 12:15:35.181106,2025-12-25 12:15:35.181106,87,0,1,0,0,1.19,0
INV-101187,Bluechip Enterprises,26QJSVS8856YSZW,Software,Credit Card,2181.4,392.65,60,2025-07-07 12:15:35.181118,2025-09-05 12:15:35.181118,48,0,1,0,0,3.29,1
INV-101188,Vertex Systems,37QFTEH0756ILZX,Maintenance,Credit Card,29677.74,7625.47,45,2026-01-16 12:15:35.181130,2026-03-02 12:15:35.181130,98,0,1,1,0,1.44,1
INV-101189,Global Traders,25HYTNQ9111BGZ1,Hardware,Credit Card,36813.11,6626.36,45,2026-06-11 12:15:35.181143,2026-07-26 12:15:35.181143,61,0,1,0,0,1.08,0
INV-101190,Future Innovations,20NABOM2516D3ZF,Electronics,Cheque,28293.52,5092.83,60,2025-08-21 12:15:35.181154,2025-10-20 12:15:35.181154,75,0,1,0,0,0.53,0
INV-101191,TechNova,30ILOFB4395OAZ0,Electronics,Bank Transfer,64359.6,11584.73,30,2026-05-19 12:15:35.181166,2026-06-18 12:15:35.181166,76,0,1,0,0,1.43,0
INV-101192,Vertex Systems,24NLVWA8751Z7Z5,Hardware,Cheque,67723.96,12190.31,30,2025-11-12 12:15:35.181177,2025-11-06 12:15:35.181177,28,0,1,0,1,1.3,1
INV-101193,Apex Supplies,17UAVWL8457XVZ0,Consulting,Cheque,93681.73,16862.71,60,2026-05-22 12:15:35.181192,2026-07-21 12:15:35.181192,67,0,1,0,0,1.38,0
INV-101194,XYZ Solutions,18LVDXD9394TUZ8,Software,Bank Transfer,49475.34,8905.56,60,2025-09-15 12:15:35.181204,2025-11-14 12:15:35.181204,73,0,1,0,0,0.74,0
INV-101195,ABC Technologies,21HRESX0440I4Z7,Electronics,UPI,14633.41,2634.01,60,2025-10-31 12:15:35.181216,2025-12-30 12:15:35.181216,80,0,1,0,0,0.66,0
INV-101196,TechNova,27MJWSG4725G2ZX,Software,Bank Transfer,28195.2,5075.14,15,2026-04-10 12:15:35.181227,2026-04-25 12:15:35.181227,29,0,1,0,0,1.17,0
INV-101197,TechNova,GST-ERROR,Electronics,UPI,51367.74,9246.19,30,2025-08-17 12:15:35.181238,2025-09-16 12:15:35.181238,97,0,0,0,0,1.46,1
INV-101198,Global Traders,15HWMPR2585HHZE,Software,Credit Card,73604.95,13248.89,30,2025-11-30 12:15:35.181251,2025-12-30 12:15:35.181251,63,1,1,0,0,0.81,1
INV-101199,Skyline Pvt Ltd,18ZWAZN8827OQZ7,Maintenance,Credit Card,20810.41,3745.87,60,2026-01-08 12:15:35.181263,2026-03-09 12:15:35.181263,80,0,1,0,0,1.34,0
INV-101200,Future Innovations,18ZMZEX3111YNZ4,Hardware,Credit Card,70074.15,12613.35,45,2026-03-05 12:15:35.181274,2026-04-19 12:15:35.181274,53,0,1,0,0,0.76,0
INV-101201,Bluechip Enterprises,20HJKSQ3561VOZ1,Hardware,Cheque,29553.39,5319.61,30,2025-10-22 12:15:35.181288,2025-11-21 12:15:35.181288,9,0,1,0,0,1.35,0
INV-101202,Prime Electronics,21BQMCO7624ZHZH,Maintenance,UPI,47439.53,8539.12,45,2026-03-27 12:15:35.181298,2026-05-11 12:15:35.181298,78,0,1,0,0,1.09,0
INV-101203,Global Traders,34RKPLE2237UKZR,Electronics,Credit Card,49027.77,8825.0,30,2026-05-21 12:15:35.181310,2026-06-20 12:15:35.181310,54,0,1,0,0,0.74,0
INV-101204,Vertex Systems,32KAMTC5166CLZR,Software,Credit Card,1531.09,275.6,15,2025-08-19 12:15:35.181322,2025-09-03 12:15:35.181322,21,0,1,0,0,1.49,0
INV-101205,Future Innovations,33WIXVU6080FDZP,Electronics,UPI,80869.51,14556.51,45,2025-12-29 12:15:35.181346,2026-02-12 12:15:35.181346,32,0,1,0,0,1.3,0
INV-101206,Global Traders,28IHEIE1841YPZ0,Software,Cheque,72890.6,13120.31,30,2026-06-21 12:15:35.181358,2026-07-21 12:15:35.181358,95,0,1,0,0,1.38,0
INV-101207,Bluechip Enterprises,36KGZJY9368GXZZ,Hardware,Credit Card,10349.01,1862.82,15,2026-01-23 12:15:35.181370,2026-02-07 12:15:35.181370,49,0,1,0,0,0.97,0
INV-101208,Apex Supplies,26ZDRXR4737VSZV,Consulting,UPI,17818.94,6308.59,15,2026-05-27 12:15:35.181382,2026-06-11 12:15:35.181382,53,0,1,1,0,1.46,1
INV-101209,Skyline Pvt Ltd,19RPKLS8421ROZJ,Consulting,Cheque,12482.09,2246.78,45,2025-11-29 12:15:35.181395,2026-01-13 12:15:35.181395,91,0,1,0,0,1.38,0
INV-101210,Skyline Pvt Ltd,27ZOPJP1553JVZ9,Consulting,Bank Transfer,62829.92,11309.39,45,2026-03-13 12:15:35.181406,2026-04-27 12:15:35.181406,8,0,1,0,0,1.24,0
INV-101211,Skyline Pvt Ltd,33YFEMK6391UOZL,Consulting,Bank Transfer,72700.06,8670.29,45,2025-07-15 12:15:35.181418,2025-08-29 12:15:35.181418,39,0,1,1,0,1.28,1
INV-101212,Future Innovations,32YVDLN2111UDZ9,Consulting,Credit Card,99231.57,17861.68,15,2025-07-26 12:15:35.181431,2025-07-23 12:15:35.181431,53,0,1,0,1,1.24,1
INV-101213,Skyline Pvt Ltd,12BWCSC9164F7ZZ,Software,Bank Transfer,40924.07,7366.33,30,2026-06-09 12:15:35.181444,2026-07-09 12:15:35.181444,34,0,1,0,0,1.05,0
INV-101214,ABC Technologies,10OWYPR2270TJZL,Consulting,Bank Transfer,62534.4,11256.19,45,2026-01-14 12:15:35.181456,2026-02-28 12:15:35.181456,20,0,1,0,0,1.39,0
INV-101215,Bluechip Enterprises,35UQOSD1427YYZ6,Consulting,UPI,34466.28,6203.93,15,2026-05-07 12:15:35.181470,2026-05-22 12:15:35.181470,81,0,1,0,0,7.2,1
INV-101216,TechNova,28BKEFR1938SPZM,Software,UPI,95142.35,17125.62,30,2025-10-08 12:15:35.181484,2025-11-07 12:15:35.181484,33,0,1,0,0,1.49,0
INV-101217,Skyline Pvt Ltd,16XPUVO2601YLZB,Consulting,Cheque,8673.53,1561.24,60,2025-11-23 12:15:35.181495,2025-11-06 12:15:35.181495,31,0,1,0,1,1.05,1
INV-101218,Global Traders,12UMGRY6980U0ZB,Consulting,Cheque,75712.66,13628.28,60,2026-04-09 12:15:35.181509,2026-06-08 12:15:35.181509,65,0,1,0,0,1.37,0
INV-101219,ABC Technologies,34DZRZU7146MAZB,Hardware,Credit Card,90893.69,16360.86,60,2026-02-26 12:15:35.181520,2026-04-27 12:15:35.181520,10,1,1,0,0,1.18,1
INV-101220,TechNova,19RPTRN8172JBZI,Hardware,Credit Card,97838.58,17610.94,60,2025-11-18 12:15:35.181534,2026-01-17 12:15:35.181534,31,0,1,0,0,1.04,0
INV-101221,Vertex Systems,36PEHFM3236ZYZP,Hardware,Bank Transfer,25513.46,4592.42,30,2026-01-22 12:15:35.181547,2026-02-21 12:15:35.181547,34,0,1,0,0,0.61,0
INV-101222,ABC Technologies,30GIEIV4483U1ZR,Maintenance,Credit Card,89206.23,16057.12,60,2025-09-05 12:15:35.181559,2025-11-04 12:15:35.181559,34,0,1,0,0,0.97,0
INV-101223,Global Traders,25WHGPQ1136VYZ9,Maintenance,Credit Card,63527.07,11434.87,15,2026-05-12 12:15:35.181570,2026-05-27 12:15:35.181570,86,0,1,0,0,1.05,0
INV-101224,Bluechip Enterprises,14NIICK9696IMZW,Hardware,Credit Card,36941.33,6649.44,60,2025-08-10 12:15:35.181581,2025-10-09 12:15:35.181581,51,0,1,0,0,1.49,0
INV-101225,Global Traders,27DQJBW6351WKZZ,Consulting,UPI,48782.28,8780.81,15,2025-07-15 12:15:35.181593,2025-07-30 12:15:35.181593,55,0,1,0,0,0.76,0
INV-101226,Prime Electronics,31TMTRH1810KRZF,Electronics,Credit Card,10506.69,1891.2,45,2025-11-09 12:15:35.181605,2025-12-24 12:15:35.181605,13,0,1,0,0,1.09,0
INV-101227,Global Traders,28LZBFB0731YPZY,Hardware,Cheque,90395.56,16271.2,45,2025-11-02 12:15:35.181617,2025-12-17 12:15:35.181617,100,0,1,0,0,0.74,0
INV-101228,XYZ Solutions,31OZHKG6943XLZ2,Maintenance,Credit Card,7222.31,1300.02,45,2026-05-26 12:15:35.181628,2026-07-10 12:15:35.181628,96,0,1,0,0,1.09,0
INV-101229,Prime Electronics,19RCSZB5265PZZG,Electronics,Cheque,7197.36,1295.52,60,2026-05-07 12:15:35.181641,2026-07-06 12:15:35.181641,32,0,1,0,0,0.54,0
INV-101230,Prime Electronics,27JYACX8024ACZZ,Consulting,UPI,64682.47,29781.39,45,2026-05-15 12:15:35.181653,2026-06-29 12:15:35.181653,65,0,1,1,0,1.05,1
INV-101231,Global Traders,30CHCDG8975XQZH,Software,Credit Card,72974.62,13135.43,30,2025-07-14 12:15:35.181666,2025-08-13 12:15:35.181666,38,0,1,0,0,1.36,0
INV-101232,ABC Technologies,37HTGAS4878XSZ4,Maintenance,Bank Transfer,47201.97,8496.35,60,2026-06-20 12:15:35.181678,2026-08-19 12:15:35.181678,45,0,1,0,0,0.88,0
INV-101233,Future Innovations,20AZTKJ6051AEZO,Electronics,Cheque,17535.5,3156.39,60,2026-03-07 12:15:35.181689,2026-05-06 12:15:35.181689,100,0,1,0,0,0.91,0
INV-101234,Apex Supplies,34QYUCZ8386SZZK,Software,UPI,36096.17,6497.31,15,2026-02-28 12:15:35.181700,2026-03-15 12:15:35.181700,22,0,1,0,0,0.76,0
INV-101235,Prime Electronics,24JHPNX3042F7ZB,Maintenance,Cheque,60897.01,10961.46,30,2026-01-06 12:15:35.181712,2026-02-05 12:15:35.181712,79,0,1,0,0,0.88,0
INV-101236,Bluechip Enterprises,15MCVJD9537XZZU,Software,UPI,35342.3,6361.61,45,2025-11-19 12:15:35.181724,2026-01-03 12:15:35.181724,25,0,1,0,0,1.06,0
INV-101237,Bluechip Enterprises,27HSBEI9766O5Z6,Consulting,Cheque,86178.56,15512.14,45,2025-11-07 12:15:35.181736,2025-12-22 12:15:35.181736,73,0,1,0,0,0.74,0
INV-101238,Skyline Pvt Ltd,15XKZYQ4147OKZF,Consulting,UPI,67210.11,12097.82,45,2025-07-30 12:15:35.181747,2025-09-13 12:15:35.181747,83,0,1,0,0,1.11,0
INV-101239,Future Innovations,17WDBDR1606QPZP,Software,Cheque,66973.72,12055.27,30,2025-09-17 12:15:35.181758,2025-10-17 12:15:35.181758,93,0,1,0,0,0.67,0
INV-101240,Future Innovations,14PFKBS3126S0ZO,Hardware,Credit Card,25928.35,4667.1,30,2025-10-13 12:15:35.181769,2025-11-12 12:15:35.181769,10,0,1,0,0,3.0,1
INV-101241,Vertex Systems,34LMFKM5750K0Z0,Hardware,UPI,89701.43,16146.26,15,2026-03-26 12:15:35.181782,2026-04-10 12:15:35.181782,25,0,1,0,0,0.82,0
INV-101242,Future Innovations,31LVZMC8918J2ZW,Hardware,Cheque,94721.51,17049.87,15,2025-07-17 12:15:35.181794,2025-08-01 12:15:35.181794,45,0,1,0,0,1.3,0
INV-101243,Skyline Pvt Ltd,18JPKLC3578FZZZ,Hardware,Credit Card,73200.37,13176.07,45,2026-02-25 12:15:35.181806,2026-04-11 12:15:35.181806,49,0,1,0,0,1.48,0
